dataset,method,seed,final_inertia,n_iterations,ARI
digits,Random,0,71849.49659889194,25,0.5149526028786781
digits,K-Means++,0,70505.25710164793,17,0.4729941836366069
digits,Random,1,69662.11074034125,20,0.5676491479687773
digits,K-Means++,1,72321.7503853814,19,0.4372449277328326
digits,Random,2,69750.24309077975,32,0.5581101260917427
digits,K-Means++,2,71500.69644135461,23,0.48601428902790517
digits,Random,3,70678.81092597966,25,0.5633206302093756
digits,K-Means++,3,72791.87112428845,19,0.3440740478721378
digits,Random,4,69852.51440625421,49,0.5364404054349666
digits,K-Means++,4,72468.13121310904,16,0.2847748857024468
digits,Random,5,70118.03972831984,34,0.47444564242810494
digits,K-Means++,5,70522.11523819462,12,0.3744577461431781
digits,Random,6,70430.44135928451,17,0.46964198633977644
digits,K-Means++,6,72514.54547510945,20,0.4567586872049543
digits,Random,7,69461.3730131156,14,0.4669498494125205
digits,K-Means++,7,71105.66377715362,32,0.5320817153360718
digits,Random,8,70508.87947406343,14,0.5618409403390763
digits,K-Means++,8,70391.90845359719,24,0.4349507197717772
digits,Random,9,71960.20022336772,18,0.537587097350052
digits,K-Means++,9,72618.7338645752,20,0.3682498962247126
digits,Random,10,70660.53802775456,26,0.5466833682710468
digits,K-Means++,10,69426.01740321837,19,0.4649890232815061
digits,Random,11,70555.2960713222,27,0.4755047908454031
digits,K-Means++,11,72216.19433590955,34,0.449074998773293
digits,Random,12,69730.16419424297,40,0.5497161794890005
digits,K-Means++,12,72343.69228571544,24,0.43094364511653355
digits,Random,13,70688.26989782901,11,0.43072202422057065
digits,K-Means++,13,70418.96214149662,18,0.49293194158041775
digits,Random,14,71921.45651087946,22,0.5416565998172428
digits,K-Means++,14,72734.20775549054,18,0.4505834088885296
digits,Random,15,71770.83825075411,17,0.5821117514347697
digits,K-Means++,15,69612.15452330527,18,0.4093836865419704
digits,Random,16,69843.38378449081,24,0.5314339962426878
digits,K-Means++,16,70622.15317611139,22,0.48051088390376684
digits,Random,17,71322.38287585283,29,0.47650715992372966
digits,K-Means++,17,70627.89244611698,34,0.5349096276881342
digits,Random,18,69898.15693928211,16,0.528396177247351
digits,K-Means++,18,71820.3311973116,19,0.34294028261758613
digits,Random,19,70822.32605619507,25,0.4889172163738757
digits,K-Means++,19,71847.75999449895,14,0.3916896077172151
digits,Random,20,69932.79926007052,26,0.5228434860144549
digits,K-Means++,20,72375.13614695705,28,0.5474866444836067
digits,Random,21,69428.6504474491,22,0.46160849116037866
digits,K-Means++,21,72062.25756741542,26,0.44739824473019535
digits,Random,22,69833.02068025165,23,0.5307813914060368
digits,K-Means++,22,71951.81812206576,21,0.45978999710248236
digits,Random,23,69937.47162385026,27,0.5281233595088164
digits,K-Means++,23,72900.58851784302,25,0.481276198793382
digits,Random,24,70834.23532801884,26,0.47930980870283063
digits,K-Means++,24,70959.36031844435,20,0.42143209157728057
digits,Random,25,72158.43450008251,31,0.5626425161484007
digits,K-Means++,25,70230.9868433057,47,0.4633274135515855
digits,Random,26,70633.12083686405,20,0.5531868559683453
digits,K-Means++,26,72558.90158384404,14,0.46177402100310483
digits,Random,27,70757.14170607443,21,0.49768089907605034
digits,K-Means++,27,71839.64994991587,18,0.44890060604902116
digits,Random,28,69523.31504964501,22,0.4637503008407724
digits,K-Means++,28,70642.75587362435,26,0.49836669409999773
digits,Random,29,70809.83417395834,14,0.484380087941247
digits,K-Means++,29,70808.40777379024,33,0.459184526254451
