cluster_std,method,seed,final_inertia,n_iterations
0.5,Random,0,290.7095944966668,4
0.5,K-Means++,0,290.7095944966668,2
0.5,Random,1,290.7095944966668,5
0.5,K-Means++,1,290.7095944966668,2
0.5,Random,2,3383.693898304679,5
0.5,K-Means++,2,290.7095944966668,2
0.5,Random,3,290.7095944966668,5
0.5,K-Means++,3,290.7095944966668,2
0.5,Random,4,290.7095944966668,4
0.5,K-Means++,4,290.7095944966668,2
0.5,Random,5,290.7095944966668,3
0.5,K-Means++,5,290.7095944966668,2
0.5,Random,6,3387.0787014783473,5
0.5,K-Means++,6,290.7095944966668,2
0.5,Random,7,290.7095944966668,3
0.5,K-Means++,7,290.7095944966668,2
0.5,Random,8,290.7095944966668,4
0.5,K-Means++,8,290.7095944966668,2
0.5,Random,9,290.7095944966668,2
0.5,K-Means++,9,290.7095944966668,2
0.5,Random,10,290.7095944966668,6
0.5,K-Means++,10,290.7095944966668,2
0.5,Random,11,290.7095944966668,5
0.5,K-Means++,11,290.7095944966668,2
0.5,Random,12,3383.651099997691,8
0.5,K-Means++,12,290.7095944966668,2
0.5,Random,13,3383.6903553728453,6
0.5,K-Means++,13,290.7095944966668,2
0.5,Random,14,290.7095944966668,3
0.5,K-Means++,14,290.7095944966668,2
0.5,Random,15,3383.587764010359,9
0.5,K-Means++,15,290.7095944966668,2
0.5,Random,16,3380.515707098096,16
0.5,K-Means++,16,290.7095944966668,2
0.5,Random,17,3380.515707098096,9
0.5,K-Means++,17,290.7095944966668,2
0.5,Random,18,3380.515707098096,12
0.5,K-Means++,18,290.7095944966668,2
0.5,Random,19,3383.651099997691,10
0.5,K-Means++,19,3383.6903553728453,7
0.5,Random,20,290.7095944966668,3
0.5,K-Means++,20,290.7095944966668,2
0.5,Random,21,290.7095944966668,7
0.5,K-Means++,21,290.7095944966668,2
0.5,Random,22,290.7095944966668,3
0.5,K-Means++,22,290.7095944966668,2
0.5,Random,23,3383.630108915848,6
0.5,K-Means++,23,290.7095944966668,2
0.5,Random,24,3380.4076053614044,9
0.5,K-Means++,24,290.7095944966668,2
0.5,Random,25,17832.943073760875,15
0.5,K-Means++,25,290.7095944966668,2
0.5,Random,26,290.7095944966668,3
0.5,K-Means++,26,290.7095944966668,2
0.5,Random,27,290.7095944966668,2
0.5,K-Means++,27,290.7095944966668,2
0.5,Random,28,290.7095944966668,3
0.5,K-Means++,28,290.7095944966668,2
0.5,Random,29,290.7095944966668,4
0.5,K-Means++,29,290.7095944966668,2
1.5,Random,0,2587.7891597408243,6
1.5,K-Means++,0,2587.7891597408243,4
1.5,Random,1,2587.7891597408243,5
1.5,K-Means++,1,2587.7891597408243,4
1.5,Random,2,2587.7891597408243,9
1.5,K-Means++,2,2587.7891597408243,10
1.5,Random,3,2587.7891597408243,9
1.5,K-Means++,3,2587.7891597408243,5
1.5,Random,4,2587.7891597408243,7
1.5,K-Means++,4,5251.242667790248,8
1.5,Random,5,2587.7891597408243,5
1.5,K-Means++,5,2587.7891597408243,5
1.5,Random,6,5326.614344606388,5
1.5,K-Means++,6,2587.7891597408243,3
1.5,Random,7,2587.7891597408243,6
1.5,K-Means++,7,2587.7891597408243,3
1.5,Random,8,2587.7891597408243,6
1.5,K-Means++,8,2587.7891597408243,3
1.5,Random,9,2587.7891597408243,4
1.5,K-Means++,9,2587.7891597408243,3
1.5,Random,10,2587.7891597408243,7
1.5,K-Means++,10,2587.7891597408243,3
1.5,Random,11,5266.594784340634,8
1.5,K-Means++,11,2587.7891597408243,2
1.5,Random,12,5277.314316740134,18
1.5,K-Means++,12,5266.521370220969,6
1.5,Random,13,5251.242667790248,8
1.5,K-Means++,13,2587.7891597408243,5
1.5,Random,14,2587.7891597408243,6
1.5,K-Means++,14,5266.574479553903,10
1.5,Random,15,5300.5162375837845,6
1.5,K-Means++,15,5277.0423675350985,6
1.5,Random,16,5267.54739518413,16
1.5,K-Means++,16,2587.7891597408243,7
1.5,Random,17,5267.54739518413,9
1.5,K-Means++,17,5267.54739518413,13
1.5,Random,18,5267.54739518413,12
1.5,K-Means++,18,2587.7891597408243,6
1.5,Random,19,5277.314316740134,23
1.5,K-Means++,19,5325.70781696373,6
1.5,Random,20,2587.7891597408243,5
1.5,K-Means++,20,2587.7891597408243,4
1.5,Random,21,2587.7891597408243,7
1.5,K-Means++,21,5267.54739518413,16
1.5,Random,22,2587.7891597408243,5
1.5,K-Means++,22,2587.7891597408243,5
1.5,Random,23,2587.7891597408243,6
1.5,K-Means++,23,2587.7891597408243,3
1.5,Random,24,5266.574479553903,9
1.5,K-Means++,24,5325.70781696373,5
1.5,Random,25,19610.709605571054,14
1.5,K-Means++,25,5267.54739518413,19
1.5,Random,26,2587.7891597408243,4
1.5,K-Means++,26,2587.7891597408243,3
1.5,Random,27,2587.7891597408243,3
1.5,K-Means++,27,2587.7891597408243,3
1.5,Random,28,2587.7891597408243,5
1.5,K-Means++,28,2587.7891597408243,3
1.5,Random,29,2587.7891597408243,6
1.5,K-Means++,29,5267.54739518413,8
2.5,Random,0,6700.279919899409,8
2.5,K-Means++,0,8773.800822774285,16
2.5,Random,1,6700.9534280115,9
2.5,K-Means++,1,6700.279919899409,9
2.5,Random,2,6700.279919899409,11
2.5,K-Means++,2,6700.279919899409,8
2.5,Random,3,6700.279919899409,19
2.5,K-Means++,3,6700.9534280115,8
2.5,Random,4,6700.279919899409,9
2.5,K-Means++,4,6700.279919899409,14
2.5,Random,5,6700.9534280115,9
2.5,K-Means++,5,6700.9534280115,10
2.5,Random,6,8773.800822774285,20
2.5,K-Means++,6,6700.279919899409,13
2.5,Random,7,6700.9534280115,11
2.5,K-Means++,7,8773.800822774285,14
2.5,Random,8,6700.279919899409,9
2.5,K-Means++,8,8773.800822774285,10
2.5,Random,9,6700.9534280115,8
2.5,K-Means++,9,6700.9534280115,12
2.5,Random,10,6700.9534280115,15
2.5,K-Means++,10,6700.9534280115,6
2.5,Random,11,6700.279919899409,17
2.5,K-Means++,11,6700.9534280115,19
2.5,Random,12,6700.279919899409,19
2.5,K-Means++,12,8773.800822774285,18
2.5,Random,13,6700.279919899409,11
2.5,K-Means++,13,6700.9534280115,8
2.5,Random,14,6700.9534280115,12
2.5,K-Means++,14,6700.9534280115,10
2.5,Random,15,6700.279919899409,18
2.5,K-Means++,15,6700.279919899409,10
2.5,Random,16,8773.800822774285,19
2.5,K-Means++,16,6700.279919899409,10
2.5,Random,17,8773.800822774285,11
2.5,K-Means++,17,8773.800822774285,14
2.5,Random,18,8773.800822774285,14
2.5,K-Means++,18,6700.819070356752,6
2.5,Random,19,6700.279919899409,18
2.5,K-Means++,19,6700.9534280115,9
2.5,Random,20,6700.279919899409,8
2.5,K-Means++,20,6700.9534280115,8
2.5,Random,21,6700.9534280115,12
2.5,K-Means++,21,6700.9534280115,8
2.5,Random,22,6700.279919899409,10
2.5,K-Means++,22,6700.279919899409,5
2.5,Random,23,6700.279919899409,6
2.5,K-Means++,23,6700.819070356752,6
2.5,Random,24,8773.800822774285,14
2.5,K-Means++,24,6700.9534280115,9
2.5,Random,25,6700.9534280115,13
2.5,K-Means++,25,6700.279919899409,16
2.5,Random,26,6700.9534280115,8
2.5,K-Means++,26,6700.279919899409,18
2.5,Random,27,6700.9534280115,7
2.5,K-Means++,27,6700.9534280115,8
2.5,Random,28,6700.9534280115,9
2.5,K-Means++,28,6700.279919899409,22
2.5,Random,29,6700.279919899409,10
2.5,K-Means++,29,9206.106864564616,9
