dataset,method,seed,final_inertia,n_iterations
synthetic_std_1.5,Random,0,2587.7891597408243,6
synthetic_std_1.5,K-Means++,0,2587.7891597408243,4
synthetic_std_1.5,Random,1,2587.7891597408243,5
synthetic_std_1.5,K-Means++,1,2587.7891597408243,4
synthetic_std_1.5,Random,2,2587.7891597408243,9
synthetic_std_1.5,K-Means++,2,2587.7891597408243,10
synthetic_std_1.5,Random,3,2587.7891597408243,9
synthetic_std_1.5,K-Means++,3,2587.7891597408243,5
synthetic_std_1.5,Random,4,2587.7891597408243,7
synthetic_std_1.5,K-Means++,4,5251.242667790248,8
synthetic_std_1.5,Random,5,2587.7891597408243,5
synthetic_std_1.5,K-Means++,5,2587.7891597408243,5
synthetic_std_1.5,Random,6,5326.614344606388,5
synthetic_std_1.5,K-Means++,6,2587.7891597408243,3
synthetic_std_1.5,Random,7,2587.7891597408243,6
synthetic_std_1.5,K-Means++,7,2587.7891597408243,3
synthetic_std_1.5,Random,8,2587.7891597408243,6
synthetic_std_1.5,K-Means++,8,2587.7891597408243,3
synthetic_std_1.5,Random,9,2587.7891597408243,4
synthetic_std_1.5,K-Means++,9,2587.7891597408243,3
synthetic_std_1.5,Random,10,2587.7891597408243,7
synthetic_std_1.5,K-Means++,10,2587.7891597408243,3
synthetic_std_1.5,Random,11,5266.594784340634,8
synthetic_std_1.5,K-Means++,11,2587.7891597408243,2
synthetic_std_1.5,Random,12,5277.314316740134,18
synthetic_std_1.5,K-Means++,12,5266.521370220969,6
synthetic_std_1.5,Random,13,5251.242667790248,8
synthetic_std_1.5,K-Means++,13,2587.7891597408243,5
synthetic_std_1.5,Random,14,2587.7891597408243,6
synthetic_std_1.5,K-Means++,14,5266.574479553903,10
synthetic_std_1.5,Random,15,5300.5162375837845,6
synthetic_std_1.5,K-Means++,15,5277.0423675350985,6
synthetic_std_1.5,Random,16,5267.54739518413,16
synthetic_std_1.5,K-Means++,16,2587.7891597408243,7
synthetic_std_1.5,Random,17,5267.54739518413,9
synthetic_std_1.5,K-Means++,17,5267.54739518413,13
synthetic_std_1.5,Random,18,5267.54739518413,12
synthetic_std_1.5,K-Means++,18,2587.7891597408243,6
synthetic_std_1.5,Random,19,5277.314316740134,23
synthetic_std_1.5,K-Means++,19,5325.70781696373,6
synthetic_std_1.5,Random,20,2587.7891597408243,5
synthetic_std_1.5,K-Means++,20,2587.7891597408243,4
synthetic_std_1.5,Random,21,2587.7891597408243,7
synthetic_std_1.5,K-Means++,21,5267.54739518413,16
synthetic_std_1.5,Random,22,2587.7891597408243,5
synthetic_std_1.5,K-Means++,22,2587.7891597408243,5
synthetic_std_1.5,Random,23,2587.7891597408243,6
synthetic_std_1.5,K-Means++,23,2587.7891597408243,3
synthetic_std_1.5,Random,24,5266.574479553903,9
synthetic_std_1.5,K-Means++,24,5325.70781696373,5
synthetic_std_1.5,Random,25,19610.709605571054,14
synthetic_std_1.5,K-Means++,25,5267.54739518413,19
synthetic_std_1.5,Random,26,2587.7891597408243,4
synthetic_std_1.5,K-Means++,26,2587.7891597408243,3
synthetic_std_1.5,Random,27,2587.7891597408243,3
synthetic_std_1.5,K-Means++,27,2587.7891597408243,3
synthetic_std_1.5,Random,28,2587.7891597408243,5
synthetic_std_1.5,K-Means++,28,2587.7891597408243,3
synthetic_std_1.5,Random,29,2587.7891597408243,6
synthetic_std_1.5,K-Means++,29,5267.54739518413,8
